Número do processos,Contrato,Extrato,Comprovante de crédito,Dossiê,Demonstrativo de evolução da dívida,Laudo referenciado
6834048-06.2025.8.24.1499,1,1,1,0,1,1
5598651-12.2025.8.17.5465,0,1,0,0,1,0
9164237-91.2025.8.01.8345,1,1,1,0,1,1
6346079-39.2025.8.13.2029,0,1,1,1,0,1
7280280-39.2025.8.27.9179,1,1,1,1,1,1
7430725-82.2025.8.22.4222,1,1,1,1,0,1
2285808-60.2025.8.21.2400,1,1,0,1,1,0
3406830-93.2025.8.17.6461,1,1,1,1,1,1
9302249-15.2025.8.14.5386,1,1,1,1,1,1
9798345-90.2025.8.05.9338,0,0,1,0,1,1
6255912-18.2025.8.16.1848,0,1,1,1,0,1
7920407-35.2025.8.22.5420,0,0,0,1,0,0
1049300-48.2025.8.01.6439,0,1,1,1,1,1
9905819-42.2025.8.01.5806,1,1,0,0,1,0
7484534-93.2025.8.01.0099,0,1,0,1,0,1
2263530-15.2025.8.27.0660,0,1,0,0,1,0
9827594-23.2025.8.02.6003,0,0,0,1,1,0
2909119-25.2025.8.19.1426,1,1,1,1,1,1
6225423-61.2025.8.04.2869,0,1,0,1,0,1
2387530-68.2025.8.17.6248,1,1,0,0,1,0
9298985-48.2025.8.13.5085,1,1,1,1,0,1
3354527-56.2025.8.03.4189,1,1,1,1,1,1
1533668-30.2025.8.12.4853,1,1,1,1,1,1
7587272-50.2025.8.14.8442,1,1,1,0,1,1
7825405-78.2025.8.25.3703,1,1,0,1,1,1
3123050-89.2025.8.24.8879,1,1,1,0,0,1
2938155-67.2025.8.08.2937,0,1,0,1,1,1
3516906-39.2025.8.01.5742,1,1,0,0,1,1
9206964-07.2025.8.03.5679,0,1,0,0,1,1
7839627-93.2025.8.21.5966,0,1,0,1,1,1
3394141-61.2025.8.05.2742,1,1,0,1,1,1
8175116-53.2025.8.13.0820,1,1,0,1,1,1
4815274-68.2025.8.14.4139,1,1,1,1,1,0
2223111-23.2025.8.18.7829,1,1,1,1,1,1
4565923-64.2025.8.26.8087,1,1,0,0,0,1
5800953-12.2025.8.22.7010,1,1,0,1,1,1
9656052-57.2025.8.12.4350,1,1,1,1,1,0
6686366-02.2025.8.15.1766,0,1,1,0,1,0
2381567-97.2025.8.01.4315,0,1,1,1,1,1
1719549-94.2025.8.10.2753,1,1,1,1,1,1
8608166-34.2025.8.08.2392,1,1,1,1,1,1
3657810-63.2025.8.05.2298,1,1,1,1,1,0
7730646-03.2025.8.10.1370,0,1,0,0,1,1
4419054-65.2025.8.22.1205,1,1,1,0,1,1
1182926-96.2025.8.26.4122,1,1,0,0,0,1
4483968-71.2025.8.22.9895,1,1,1,0,1,1
6405231-62.2025.8.19.7588,0,1,0,0,1,0
1801989-80.2025.8.11.3926,0,1,0,1,0,1
2051458-57.2025.8.06.2591,0,1,1,1,0,0
3760803-35.2025.8.09.4443,1,0,0,0,1,0
7932011-22.2025.8.13.6653,0,1,1,1,0,1
9496255-67.2025.8.17.4971,1,1,0,1,1,1
8732134-89.2025.8.21.3944,1,1,1,1,0,1
1516671-70.2025.8.11.7587,0,1,1,0,1,0
5311659-67.2025.8.05.9565,0,1,1,1,1,1
6703479-71.2025.8.16.5832,1,0,1,0,1,0
4302156-83.2025.8.16.1086,0,0,1,1,0,1
7395885-64.2025.8.17.2549,1,1,1,1,1,0
2350530-76.2025.8.11.0252,1,1,1,1,1,1
5871961-95.2025.8.21.8900,0,1,1,1,1,1
6533285-97.2025.8.16.4278,0,0,0,1,1,1
1688663-78.2025.8.01.5434,1,1,0,0,1,0
3299685-21.2025.8.06.0803,1,0,1,1,1,1
2452652-38.2025.8.19.7452,0,1,0,0,1,0
3640040-32.2025.8.02.6685,1,1,1,0,1,1
8834514-87.2025.8.25.5736,1,1,0,1,1,1
6846442-70.2025.8.18.4301,0,0,0,1,0,1
4546871-08.2025.8.02.3388,1,1,1,1,1,1
9387481-89.2025.8.15.1484,0,0,0,1,1,0
9749624-74.2025.8.13.4898,1,1,1,1,1,1
4056427-68.2025.8.05.6732,1,1,1,0,1,0
9979599-43.2025.8.14.5029,1,0,1,0,1,0
9486507-36.2025.8.24.9163,0,1,0,1,1,1
5769693-33.2025.8.25.5452,1,1,1,1,1,1
2459598-09.2025.8.14.9745,1,1,1,0,1,1
9147090-61.2025.8.18.2245,1,0,1,0,1,1
2240563-18.2025.8.09.2808,0,1,1,0,1,1
9552483-70.2025.8.01.2092,1,1,0,1,1,1
5839283-45.2025.8.05.1354,0,1,0,1,1,1
1165114-08.2025.8.19.0027,1,1,1,0,1,1
8153730-18.2025.8.04.2007,0,0,1,0,0,1
2400425-84.2025.8.19.2795,0,1,1,1,1,1
8082475-68.2025.8.10.5017,1,1,1,1,1,1
6094926-50.2025.8.08.0036,1,1,1,0,1,1
4559265-18.2025.8.07.9501,0,1,0,0,1,1
7553131-49.2025.8.02.7924,1,0,1,1,1,0
3363598-31.2025.8.02.0544,1,1,1,1,0,1
1894769-12.2025.8.11.7081,0,1,0,0,1,1
1281302-58.2025.8.10.2981,1,1,1,0,0,0
8209128-01.2025.8.08.2839,0,1,0,1,0,0
4098310-92.2025.8.19.0596,0,1,0,1,0,1
1687451-62.2025.8.10.4595,0,1,1,1,0,1
3350048-67.2025.8.27.3247,0,0,1,1,1,1
7934707-57.2025.8.01.7454,0,0,1,0,1,1
3895388-47.2025.8.01.1358,1,1,1,1,0,1
1383779-64.2025.8.22.9458,1,1,0,0,0,1
9493393-68.2025.8.11.7001,1,1,1,1,1,1
9327152-35.2025.8.27.7153,0,0,1,1,1,1
7422322-13.2025.8.04.4128,1,0,0,0,1,1
7506730-33.2025.8.20.1354,0,1,0,1,1,1
6576112-12.2025.8.07.0732,0,0,1,0,1,1
2314351-76.2025.8.01.3429,0,1,0,1,1,1
5230378-88.2025.8.17.1677,1,1,0,0,1,1
3398185-94.2025.8.10.4469,1,1,1,0,0,1
2057484-88.2025.8.05.3808,0,0,1,1,0,1
4678921-69.2025.8.17.4908,1,1,1,1,1,1
1596128-97.2025.8.22.7853,0,1,0,1,1,0
3292138-20.2025.8.18.1442,1,1,1,0,0,1
2991146-03.2025.8.12.5920,1,1,1,0,0,0
2866838-34.2025.8.15.2093,0,0,0,1,0,0
7675431-20.2025.8.06.5169,0,0,1,0,1,1
4273972-24.2025.8.11.8600,1,1,0,1,1,1
1104502-39.2025.8.22.4251,1,0,0,0,1,1
7288760-69.2025.8.06.1825,1,1,0,1,0,1
1104205-98.2025.8.21.9788,1,1,0,0,1,0
4551608-86.2025.8.05.1877,1,1,0,1,1,1
5435399-60.2025.8.12.3229,1,1,1,1,1,1
3943486-52.2025.8.21.5431,1,1,0,1,1,1
7052517-45.2025.8.26.2279,1,1,0,0,1,1
1209731-87.2025.8.05.4418,1,1,1,0,1,1
8602651-16.2025.8.22.4357,1,1,1,1,1,1
8674495-13.2025.8.10.6326,1,1,1,1,1,0
7693848-55.2025.8.05.9020,1,1,1,1,1,1
9428559-92.2025.8.20.3486,0,0,0,0,1,1
7679001-90.2025.8.20.4659,1,0,0,1,1,0
9248164-99.2025.8.10.7033,0,1,1,0,1,1
4980918-93.2025.8.18.2348,1,1,1,0,1,1
8455612-40.2025.8.11.1180,1,1,1,1,1,1
5575406-92.2025.8.06.9632,1,1,1,1,1,1
8310809-16.2025.8.25.2413,0,0,0,1,1,1
1812353-31.2025.8.11.9623,1,1,1,0,1,1
9853569-17.2025.8.03.3906,1,1,0,1,1,1
3740042-63.2025.8.11.2739,0,0,0,1,1,1
5692654-38.2025.8.01.1020,0,0,1,0,1,1
5691721-05.2025.8.12.0345,1,1,1,0,1,1
7862556-39.2025.8.25.7457,1,1,0,1,1,1
1865535-89.2025.8.05.8963,1,1,0,0,1,1
6109927-35.2025.8.06.0014,1,1,1,1,1,0
2845683-28.2025.8.14.1996,0,1,0,1,0,1
3117464-81.2025.8.20.9370,0,1,1,0,1,1
8719871-18.2025.8.17.3583,1,0,1,1,1,0
8069001-61.2025.8.17.7555,1,1,1,0,1,0
3891955-87.2025.8.12.7827,1,1,1,1,0,0
4811538-52.2025.8.22.6017,1,1,1,0,1,1
3667415-76.2025.8.13.7023,1,1,1,0,0,1
3711601-13.2025.8.01.2765,1,1,1,1,1,1
3332579-57.2025.8.02.2177,0,1,0,0,1,1
7211956-01.2025.8.17.0347,0,1,1,1,1,1
5140877-97.2025.8.21.9440,1,1,1,0,1,1
3127122-21.2025.8.01.2537,0,1,0,1,0,0
6965836-45.2025.8.21.2678,0,1,0,1,1,1
8396079-17.2025.8.22.9729,1,1,1,1,1,1
5603366-42.2025.8.15.3186,1,1,1,1,0,1
1867638-47.2025.8.06.8562,1,1,0,1,1,1
1422094-50.2025.8.12.9463,0,1,1,1,1,1
2176161-59.2025.8.27.3885,1,1,0,1,1,0
3187568-05.2025.8.25.9006,1,1,1,0,1,1
5676056-95.2025.8.04.0221,1,1,1,1,1,1
2999317-90.2025.8.16.9951,0,0,0,1,1,1
5332103-62.2025.8.04.6421,1,1,0,1,1,0
7289946-29.2025.8.08.6066,1,1,0,1,1,1
1695970-47.2025.8.03.4564,1,1,1,1,1,1
4859440-14.2025.8.07.8094,1,1,1,0,1,1
5055135-98.2025.8.17.9027,1,1,0,1,1,0
3053839-21.2025.8.19.7727,1,1,1,1,0,1
3347209-06.2025.8.14.4070,1,1,1,1,1,1
7589309-43.2025.8.22.4520,0,1,1,1,0,1
4580503-16.2025.8.27.3971,1,1,0,0,0,0
1378990-16.2025.8.17.0753,0,1,1,0,0,1
6851993-81.2025.8.19.8827,1,1,0,1,0,1
7508560-93.2025.8.03.8014,1,1,1,1,1,1
2411976-69.2025.8.02.5880,1,1,0,1,0,1
8111845-22.2025.8.08.3275,1,1,1,1,1,1
2724421-61.2025.8.17.0845,1,0,1,0,1,1
5352311-91.2025.8.10.0885,1,1,1,1,1,1
2539169-76.2025.8.18.0609,1,1,0,0,1,1
5274247-34.2025.8.14.3415,1,0,1,0,1,1
9907985-52.2025.8.04.1896,1,1,0,1,1,1
5794121-11.2025.8.16.6523,1,0,1,1,1,1
6082840-22.2025.8.16.3349,1,1,0,0,1,1
1569226-90.2025.8.15.2114,1,1,1,0,1,1
4734336-45.2025.8.20.2701,1,1,1,1,1,0
8673504-42.2025.8.16.6006,0,0,0,0,1,1
3547631-61.2025.8.03.4140,1,1,1,1,0,1
3053602-23.2025.8.14.0876,0,0,0,0,0,1
1002844-22.2025.8.07.9422,1,1,0,0,1,1
2259132-92.2025.8.12.4321,1,0,1,0,0,1
9600763-00.2025.8.27.2686,1,0,0,1,1,1
6266027-63.2025.8.20.5396,1,0,1,1,1,1
5191382-84.2025.8.13.2934,1,1,1,0,1,0
2806706-46.2025.8.05.5765,1,1,0,1,0,1
2724887-28.2025.8.21.6828,0,1,1,0,1,1
4006143-80.2025.8.19.3259,1,1,0,1,1,0
7907347-02.2025.8.03.0256,1,1,1,1,1,0
5150416-43.2025.8.17.5039,1,1,0,1,1,0
4480098-77.2025.8.18.6449,1,1,1,1,0,1
9907176-95.2025.8.11.2364,1,1,1,1,1,0
6777547-88.2025.8.14.6239,1,1,1,0,1,0
2704284-79.2025.8.15.4581,1,0,0,1,0,1
6829401-01.2025.8.10.8080,1,1,0,0,1,1
1816415-70.2025.8.24.1558,1,1,1,1,0,1
2076705-37.2025.8.15.1585,0,1,0,1,1,1
4553321-33.2025.8.12.9068,1,1,1,0,1,1
4991299-07.2025.8.10.1501,0,1,0,1,1,1
4789180-52.2025.8.07.9138,0,1,1,1,0,0
1779359-81.2025.8.06.1731,1,0,1,1,1,0
4360953-88.2025.8.12.4741,1,1,1,1,1,1
3431759-51.2025.8.08.7890,1,0,0,0,1,1
5455161-81.2025.8.12.9728,1,1,0,1,1,0
2296396-16.2025.8.20.9344,1,1,1,0,1,0
2525698-43.2025.8.04.8554,0,0,0,1,1,1
2600496-03.2025.8.25.1242,1,1,1,1,1,1
2357986-22.2025.8.27.6549,1,1,1,1,1,0
8490050-66.2025.8.09.0722,0,0,0,0,1,1
2536318-91.2025.8.24.1316,1,1,0,1,1,0
5477473-76.2025.8.02.5116,1,0,1,0,1,1
7840326-80.2025.8.20.1010,1,1,1,1,0,1
8033484-72.2025.8.13.9710,1,0,1,1,1,1
6911766-13.2025.8.22.0440,1,1,1,0,1,0
1940178-35.2025.8.18.5703,0,1,1,0,1,1
4675667-25.2025.8.17.0965,1,1,1,1,1,1
7445078-01.2025.8.05.3541,1,1,0,1,1,1
9987851-39.2025.8.10.4252,1,1,1,1,1,1
1109650-31.2025.8.21.9578,1,1,1,1,1,1
2540211-56.2025.8.16.9673,1,1,1,0,1,1
4921314-83.2025.8.01.2681,0,1,1,0,1,1
6819494-35.2025.8.22.4378,0,0,0,0,1,1
3193088-88.2025.8.19.3578,1,1,1,1,1,1
9747782-03.2025.8.15.5551,0,1,1,1,1,1
8465684-51.2025.8.20.6552,1,1,1,0,1,1
5832826-80.2025.8.18.0821,1,1,1,1,1,1
5926664-47.2025.8.16.4892,1,1,1,0,1,1
6826502-75.2025.8.10.3786,0,0,1,1,0,1
9373928-43.2025.8.08.3920,1,1,1,0,1,1
5270250-99.2025.8.04.5588,1,1,1,1,1,0
8408221-86.2025.8.21.5395,0,1,1,1,1,1
3812835-72.2025.8.11.9219,1,1,1,0,1,1
3323501-11.2025.8.11.8936,1,1,1,1,1,1
6225181-42.2025.8.21.5252,1,1,1,1,1,1
6277469-55.2025.8.08.8078,0,0,1,0,1,1
2397900-79.2025.8.03.8562,0,0,1,0,1,0
9018523-72.2025.8.18.0774,1,0,0,0,1,1
6652785-06.2025.8.14.8480,0,0,1,1,1,0
6489353-40.2025.8.25.5077,1,1,1,1,1,0
7183254-32.2025.8.17.9705,1,0,0,0,1,1
4396084-03.2025.8.03.3630,1,1,1,0,0,1
6288519-04.2025.8.25.8279,1,1,1,1,1,0
3984984-19.2025.8.27.6638,1,1,1,1,1,1
1339318-75.2025.8.14.2610,1,1,1,0,1,1
2337562-91.2025.8.11.7495,1,1,0,1,0,0
3851895-37.2025.8.19.6329,1,1,0,0,1,1
4977079-49.2025.8.01.7063,1,1,1,0,0,1
5740476-61.2025.8.05.4814,0,1,0,1,1,1
6105798-30.2025.8.26.3397,1,1,0,1,1,1
9368941-34.2025.8.15.7213,1,1,1,1,1,1
6032891-94.2025.8.06.6352,1,1,1,1,1,1
4352899-85.2025.8.01.9650,1,1,0,1,0,0
1781955-36.2025.8.08.9267,1,1,1,1,1,1
5828461-80.2025.8.20.2235,1,1,0,0,0,1
8774660-34.2025.8.12.1178,1,1,1,1,1,0
7607246-04.2025.8.25.9678,0,0,1,1,1,1
3655171-73.2025.8.25.0236,0,1,0,0,1,1
4757835-51.2025.8.15.5181,1,1,0,1,1,1
4989248-20.2025.8.09.1887,0,0,1,1,1,1
6889858-73.2025.8.19.8425,1,1,0,0,0,1
3332927-53.2025.8.07.2021,1,1,1,1,1,0
6703376-60.2025.8.13.9437,1,1,0,1,1,0
1746595-38.2025.8.12.5120,1,1,0,0,0,0
2516137-74.2025.8.15.4749,1,1,1,0,0,1
3484234-99.2025.8.10.3583,1,1,0,0,1,1
5010679-66.2025.8.06.3514,1,0,1,1,1,0
4736031-87.2025.8.03.8717,1,1,1,0,0,1
2972086-38.2025.8.26.6099,0,1,0,1,1,0
8637057-64.2025.8.04.4244,1,1,1,1,0,1
5745971-99.2025.8.02.6150,0,0,1,1,1,1
1123395-06.2025.8.06.9635,1,1,0,1,1,1
7085346-42.2025.8.08.3831,1,1,1,0,1,1
6405972-67.2025.8.17.1600,1,1,1,1,0,1
9872830-18.2025.8.12.6768,1,1,1,1,1,1
2967760-90.2025.8.06.2378,0,0,0,0,1,1
4627898-98.2025.8.06.4602,1,1,0,0,1,1
1254215-45.2025.8.09.3837,0,1,1,1,1,1
8139881-69.2025.8.15.7422,1,1,1,1,0,1
2655448-92.2025.8.16.1749,1,1,1,1,0,1
3397043-00.2025.8.03.3771,1,1,1,0,1,1
1171986-04.2025.8.03.7497,0,0,0,1,1,1
1660454-25.2025.8.22.7738,1,1,0,1,1,1
2862819-71.2025.8.05.7956,1,1,1,0,1,1
8408452-93.2025.8.01.6646,0,0,0,1,1,1
9964920-35.2025.8.16.3337,1,1,0,0,1,1
8959098-60.2025.8.03.0890,0,1,1,1,1,1
8034566-24.2025.8.11.2561,1,1,1,1,1,1
5230693-66.2025.8.18.1329,1,1,1,0,0,0
9426761-94.2025.8.17.5180,1,1,0,0,0,1
1024180-47.2025.8.21.8438,1,1,1,1,1,1
7723339-09.2025.8.16.3707,1,1,0,0,1,1
7452466-99.2025.8.21.1881,1,1,1,1,1,0
2367320-37.2025.8.04.5415,1,1,0,1,1,0
1381984-16.2025.8.10.5247,1,1,1,1,1,0
5040360-23.2025.8.11.2637,0,1,1,1,1,1
8514037-29.2025.8.24.3538,1,1,0,0,1,1
4842513-06.2025.8.03.2410,1,1,1,1,0,0
9327610-48.2025.8.12.9650,0,0,1,0,0,1
7719501-08.2025.8.03.5249,1,1,1,1,1,0
2351565-06.2025.8.06.5286,1,1,0,1,1,1
8886263-80.2025.8.21.0815,0,1,0,0,1,1
2538663-65.2025.8.02.9701,1,1,1,0,1,1
4722141-80.2025.8.05.5773,1,1,0,0,1,1
2498957-32.2025.8.09.7227,0,1,0,0,0,1
1158381-88.2025.8.10.7835,0,1,1,1,0,1
4248338-95.2025.8.26.1696,1,1,1,1,1,1
7029615-21.2025.8.18.4170,1,0,0,1,1,1
5075866-32.2025.8.26.3554,1,1,1,0,1,1
8278005-99.2025.8.05.4303,1,1,1,0,1,1
2704030-99.2025.8.24.8094,0,1,1,0,0,1
2658278-30.2025.8.20.5042,0,0,0,1,1,0
4142768-20.2025.8.18.7562,1,1,0,0,0,1
4064582-44.2025.8.11.5244,0,1,0,1,1,1
1521059-22.2025.8.27.1399,1,1,0,0,1,1
8483043-40.2025.8.27.0867,1,1,1,1,1,1
8487858-25.2025.8.03.4459,1,1,0,1,1,1
8308037-01.2025.8.05.6754,1,1,1,1,1,1
7415855-85.2025.8.14.2566,1,1,0,0,0,1
8221033-94.2025.8.27.9150,1,1,1,1,1,1
1553096-66.2025.8.12.5901,1,1,1,1,1,0
3006583-88.2025.8.04.3269,0,0,0,0,0,1
1600160-92.2025.8.27.0846,1,1,1,1,1,1
2527686-31.2025.8.25.6134,1,1,1,1,0,1
2087353-60.2025.8.01.3977,0,1,0,1,0,1
2400765-96.2025.8.17.7980,1,1,1,1,1,1
5816816-57.2025.8.02.1832,1,1,0,1,1,1
4810151-56.2025.8.14.5437,1,0,0,1,0,1
3780104-65.2025.8.01.3302,1,0,1,0,1,1
6207803-69.2025.8.07.2438,0,0,0,1,1,1
3879713-72.2025.8.18.6378,1,1,1,1,1,0
4313056-52.2025.8.08.0393,0,1,1,1,1,1
1649177-53.2025.8.12.2612,1,1,1,0,1,1
5655342-79.2025.8.27.5120,1,1,0,1,1,1
6587342-24.2025.8.07.1388,0,0,0,1,1,1
2615624-83.2025.8.05.3205,1,1,1,1,1,0
1501895-52.2025.8.10.7155,1,1,0,1,1,1
6842310-95.2025.8.14.9520,0,1,0,1,1,1
9238422-47.2025.8.21.2553,0,1,0,0,0,1
1558299-26.2025.8.10.6644,1,1,0,1,1,1
5545643-81.2025.8.20.4117,1,1,1,1,1,1
8614456-18.2025.8.14.5078,0,0,0,1,1,0
4898737-34.2025.8.09.7506,1,1,1,1,1,0
5014885-23.2025.8.19.6122,0,0,0,1,0,1
5576448-82.2025.8.27.2131,0,1,1,1,1,1
2638075-72.2025.8.14.1480,1,1,1,1,1,1
6033729-67.2025.8.25.7856,0,1,1,0,0,0
9704904-51.2025.8.17.4619,1,1,0,1,1,1
3227685-11.2025.8.26.3912,0,1,1,1,0,1
5882503-33.2025.8.21.0365,0,0,0,1,1,1
2815650-32.2025.8.11.9901,1,1,1,1,1,1
2695021-70.2025.8.24.8371,1,1,1,0,1,1
1246834-07.2025.8.12.6169,1,1,0,0,1,0
8067924-04.2025.8.11.1555,1,1,1,1,1,1
5243265-97.2025.8.17.1323,1,1,1,0,1,1
2641001-31.2025.8.15.7602,1,1,0,1,0,0
4049507-98.2025.8.24.6189,1,1,1,0,1,0
2868271-12.2025.8.21.4752,1,1,0,1,1,1
9931148-70.2025.8.27.8160,1,1,1,1,1,1
9654137-33.2025.8.09.1618,1,0,0,1,1,1
6696991-90.2025.8.08.2849,1,1,1,0,1,0
4060117-47.2025.8.08.0147,0,1,1,1,1,1
9569803-49.2025.8.25.7228,1,1,1,1,1,1
1288650-50.2025.8.26.5825,1,1,0,0,1,1
7638044-64.2025.8.09.2224,0,1,1,1,1,1
9092615-96.2025.8.20.9971,1,1,1,1,1,1
7781694-06.2025.8.14.0081,1,1,0,1,1,1
8751161-28.2025.8.18.2193,1,0,0,0,1,1
6426818-60.2025.8.12.2896,1,1,1,1,1,1
1037688-65.2025.8.24.9882,1,1,1,1,1,1
4278576-49.2025.8.05.4681,1,1,0,0,1,1
5584123-95.2025.8.13.2956,0,1,1,1,1,1
8296540-65.2025.8.22.3763,0,0,0,1,1,1
7022852-55.2025.8.10.9297,1,1,0,1,1,1
9259500-39.2025.8.25.3177,1,1,0,0,1,0
7567479-26.2025.8.25.2618,1,1,1,1,1,0
5078554-11.2025.8.05.5163,1,1,1,1,0,1
2377936-04.2025.8.04.1352,1,0,0,1,1,1
2554141-13.2025.8.11.0565,1,1,1,1,1,0
9675506-33.2025.8.06.1743,1,1,1,1,1,1
3477618-70.2025.8.26.4073,1,1,1,1,1,0
6346406-67.2025.8.17.2472,1,1,1,1,1,1
9500135-16.2025.8.11.1148,1,1,1,0,0,0
4300200-79.2025.8.19.4326,0,1,0,0,0,0
2515631-07.2025.8.25.9890,0,0,0,0,1,1
4319622-68.2025.8.27.0678,0,1,1,0,1,1
9640283-02.2025.8.01.7951,1,1,1,1,1,1
5908611-18.2025.8.25.1573,0,1,1,1,1,1
4164583-33.2025.8.25.7924,0,0,0,0,1,0
6483822-73.2025.8.17.7889,0,1,0,1,1,1
5975677-23.2025.8.16.9718,1,1,1,0,1,1
9970641-49.2025.8.11.0655,1,1,1,1,1,1
7852535-67.2025.8.17.3664,0,1,0,0,1,1
2180333-23.2025.8.09.8726,0,1,1,1,0,0
7309447-49.2025.8.26.0494,1,1,0,1,1,0
5000498-89.2025.8.25.3936,0,1,1,1,1,1
4000467-39.2025.8.26.3229,1,1,0,0,0,1
3790513-10.2025.8.20.7463,1,1,0,0,0,1
8274863-62.2025.8.05.6322,0,1,1,1,1,1
3981633-30.2025.8.05.2967,1,1,1,0,1,1
4915518-24.2025.8.02.1150,1,1,0,0,1,0
1722258-94.2025.8.03.5778,1,0,1,1,1,0
2166964-76.2025.8.20.0407,1,1,1,1,1,1
1173103-36.2025.8.13.8775,1,1,1,1,1,1
2350495-26.2025.8.05.9606,1,1,1,1,0,1
6537059-86.2025.8.16.8317,1,1,0,1,1,0
1538662-57.2025.8.24.0786,0,1,0,1,1,0
9634285-13.2025.8.04.3922,1,1,1,1,1,1
6991072-27.2025.8.07.0719,1,1,0,1,1,1
2848289-28.2025.8.02.3838,1,1,1,1,0,1
1705371-29.2025.8.27.4046,1,1,1,1,1,1
3721011-50.2025.8.15.2861,0,0,1,1,1,1
8617279-97.2025.8.22.8064,1,1,1,1,1,1
1662410-11.2025.8.24.4542,1,1,1,1,1,1
4026624-31.2025.8.22.1792,1,1,1,1,0,1
5251526-91.2025.8.09.2896,1,1,1,1,1,1
5773579-66.2025.8.04.4818,1,1,0,1,1,1
3656834-22.2025.8.24.2197,1,1,1,0,0,1
5789460-44.2025.8.12.2199,0,0,0,1,1,1
7540322-78.2025.8.03.1424,0,0,1,1,1,1
1362742-24.2025.8.14.0064,1,1,1,1,0,1
2764286-90.2025.8.21.0001,1,1,1,1,1,1
4712696-63.2025.8.18.3120,1,1,0,1,1,1
4524835-21.2025.8.18.3078,0,0,0,1,1,0
3773178-75.2025.8.15.4665,1,1,1,1,1,1
1320040-56.2025.8.25.3997,1,1,1,1,1,1
4599213-13.2025.8.22.0790,1,1,0,1,1,1
3409221-70.2025.8.26.5645,1,1,0,0,0,1
1957836-06.2025.8.06.9082,1,1,1,0,1,1
2130151-67.2025.8.20.4094,1,1,1,1,1,1
6181746-73.2025.8.14.0772,1,1,1,1,1,1
6666499-30.2025.8.22.3449,1,1,1,0,1,1
7546989-24.2025.8.08.5573,1,1,1,1,0,1
4350851-04.2025.8.12.7193,0,0,0,0,1,1
7910769-97.2025.8.25.7890,1,0,1,1,1,1
1008972-24.2025.8.13.8620,1,1,1,1,1,1
8282611-64.2025.8.06.9805,1,1,0,1,0,1
4312206-10.2025.8.06.2703,1,1,1,1,1,1
6748688-32.2025.8.27.8300,1,1,1,1,1,0
9052452-50.2025.8.19.4241,1,1,1,1,1,1
9204861-00.2025.8.18.8476,1,1,0,1,0,1
2598202-19.2025.8.03.9754,1,1,1,0,1,1
6541503-08.2025.8.05.4378,0,0,0,0,1,1
4009606-91.2025.8.14.9144,1,1,0,0,1,1
4576772-12.2025.8.03.3266,0,1,1,0,0,0
9722896-41.2025.8.04.3052,1,1,1,1,1,1
9387932-09.2025.8.12.7231,1,1,0,1,1,0
7215531-67.2025.8.16.7684,1,1,1,0,1,1
5318301-22.2025.8.03.3252,0,1,0,1,1,0
1093277-35.2025.8.14.7891,1,1,1,0,1,1
5144643-82.2025.8.14.5934,1,1,1,1,1,0
8155886-12.2025.8.26.1011,1,1,0,1,1,1
7711590-76.2025.8.17.0098,0,0,0,0,0,0
5669449-81.2025.8.08.8826,1,1,1,1,1,1
5058580-04.2025.8.06.4061,1,1,1,1,1,0
6408744-67.2025.8.09.5014,1,1,0,0,1,1
3192668-00.2025.8.07.9210,1,1,0,0,0,1
9119264-30.2025.8.15.8385,1,1,0,1,1,1
6870651-13.2025.8.02.1306,0,0,0,0,1,1
9648019-60.2025.8.19.3324,1,1,1,1,1,1
2104348-20.2025.8.07.0700,1,1,0,0,1,0
3223394-02.2025.8.16.9886,1,1,1,1,1,1
2855675-42.2025.8.15.3403,1,1,1,1,1,1
4423093-46.2025.8.22.5884,0,0,1,1,0,0
6619097-68.2025.8.05.2253,1,1,0,1,0,1
5748623-51.2025.8.07.3782,0,0,0,1,1,1
9562256-85.2025.8.27.0010,1,1,0,1,0,1
2092690-13.2025.8.03.7344,1,1,1,1,1,0
2499237-26.2025.8.05.0781,0,0,0,1,1,1
2295899-95.2025.8.07.9626,0,1,1,1,1,1
8156412-02.2025.8.13.6492,1,1,0,1,1,1
5426646-20.2025.8.17.5719,1,1,1,1,0,1
5075069-69.2025.8.17.1633,1,1,0,1,1,1
3174070-25.2025.8.19.2890,1,1,0,1,1,1
9106848-36.2025.8.07.5120,1,1,1,1,1,1
6064314-43.2025.8.19.3181,0,0,0,1,0,1
2901259-47.2025.8.20.7535,0,1,1,1,0,0
3145201-96.2025.8.11.4405,1,1,1,1,1,1
2234644-98.2025.8.01.1734,1,1,1,1,0,1
2411132-96.2025.8.05.9984,1,1,1,1,1,1
5836719-92.2025.8.22.1985,1,1,1,1,0,1
9200622-46.2025.8.24.8758,1,1,1,0,1,0
6351879-29.2025.8.24.2634,1,1,1,0,1,0
9633172-07.2025.8.07.2956,0,1,0,1,0,0
8450454-77.2025.8.06.3838,1,1,0,1,1,1
7150608-87.2025.8.26.2610,0,1,0,1,1,0
4989241-53.2025.8.01.3447,1,1,0,1,1,1
2157624-82.2025.8.14.8220,1,1,1,1,0,1
6637855-37.2025.8.01.0942,1,1,1,1,1,1
3329364-21.2025.8.26.2435,1,1,1,1,0,1
1713614-73.2025.8.14.7315,0,0,0,1,1,0
5317726-68.2025.8.03.3246,0,0,1,1,1,1
7987885-20.2025.8.08.4494,1,1,0,1,1,1
